Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00005647AB92F458, Iclass: JUMP
Address in frontend: 00005647AB92F463, Iclass: MOV
Address in frontend: 00005647AB92F46A, Iclass: MOV
Address in frontend: 00005647AB92F46E, Iclass: MOV
Address in frontend: 00005647AB92F471, Iclass: MOV
Address in frontend: 00005647AB92F474, Iclass: ALU
Address in frontend: 00005647AB92F479, Iclass: ALU
Address in frontend: 00005647AB92F47D, Iclass: ALU
Address in frontend: 00005647AB92F47F, Iclass: ALU
Address in frontend: 00005647AB92F482, Iclass: ALU
Address in frontend: 00005647AB92F485, Iclass: CALL
Address in frontend: 00005647AB0B99B0, Iclass: PUSH
Address in frontend: 00005647AB0B99B1, Iclass: MOV
Address in frontend: 00005647AB0B99B4, Iclass: PUSH
Address in frontend: 00005647AB0B99B6, Iclass: PUSH
Address in frontend: 00005647AB0B99B8, Iclass: PUSH
Address in frontend: 00005647AB0B99BA, Iclass: PUSH
Address in frontend: 00005647AB0B99BC, Iclass: MOV
Address in frontend: 00005647AB0B99BF, Iclass: PUSH
Address in frontend: 00005647AB0B99C0, Iclass: MOV
Address in frontend: 00005647AB0B99C2, Iclass: MOV
Address in frontend: 00005647AB0B99C5, Iclass: ALU
Address in frontend: 00005647AB0B99C9, Iclass: MOV
Address in frontend: 00005647AB0B99CC, Iclass: ALU
Address in frontend: 00005647AB0B99D3, Iclass: MOV
Address in frontend: 00005647AB0B99D9, Iclass: ALU
Address in frontend: 00005647AB0B99DD, Iclass: MOV
Address in frontend: 00005647AB0B99E6, Iclass: MOV
Address in frontend: 00005647AB0B99EA, Iclass: ALU
Address in frontend: 00005647AB0B99EC, Iclass: MOV
Address in frontend: 00005647AB0B99EF, Iclass: MOV
Address in frontend: 00005647AB0B99F6, Iclass: CALL
Address in frontend: 00005647AB930380, Iclass: PUSH
Address in frontend: 00005647AB930381, Iclass: MOV
Address in frontend: 00005647AB930384, Iclass: PUSH
Address in frontend: 00005647AB930386, Iclass: PUSH
Address in frontend: 00005647AB930388, Iclass: PUSH
Address in frontend: 00005647AB93038A, Iclass: PUSH
Address in frontend: 00005647AB93038B, Iclass: ALU
Address in frontend: 00005647AB93038F, Iclass: MOV
Address in frontend: 00005647AB930392, Iclass: MOV
Address in frontend: 00005647AB930395, Iclass: MOV
Address in frontend: 00005647AB930398, Iclass: ALU
Address in frontend: 00005647AB93039C, Iclass: ALU
Address in frontend: 00005647AB93039F, Iclass: JUMP
Address in frontend: 00005647AB930438, Iclass: MOV
Address in frontend: 00005647AB93043C, Iclass: ALU
Address in frontend: 00005647AB930440, Iclass: MOV
Address in frontend: 00005647AB930444, Iclass: ALU
Address in frontend: 00005647AB930447, Iclass: ALU
Address in frontend: 00005647AB93044C, Iclass: ALU
Address in frontend: 00005647AB93044F, Iclass: ALU
Address in frontend: 00005647AB930453, Iclass: ALU
Address in frontend: 00005647AB930456, Iclass: JUMP
Address in frontend: 00005647AB930458, Iclass: MOV
Address in frontend: 00005647AB93045D, Iclass: MOV
Address in frontend: 00005647AB930460, Iclass: CALL
Address in frontend: 00005647AB932DA0, Iclass: PUSH
Address in frontend: 00005647AB932DA1, Iclass: ALU
Address in frontend: 00005647AB932DA4, Iclass: MOV
Address in frontend: 00005647AB932DA9, Iclass: MOV
Address in frontend: 00005647AB932DAC, Iclass: PUSH
Address in frontend: 00005647AB932DAE, Iclass: PUSH
Address in frontend: 00005647AB932DB0, Iclass: PUSH
Address in frontend: 00005647AB932DB2, Iclass: PUSH
Address in frontend: 00005647AB932DB3, Iclass: MOV
Address in frontend: 00005647AB932DB6, Iclass: ALU
Address in frontend: 00005647AB932DBA, Iclass: MOV
Address in frontend: 00005647AB932DBD, Iclass: MOV
Address in frontend: 00005647AB932DC2, Iclass: MOV
Address in frontend: 00005647AB932DC5, Iclass: CALL
Address in frontend: 00005647A880A000, Iclass: JUMP
Address in frontend: 00007F91AFB543E0, Iclass: PUSH
Address in frontend: 00007F91AFB543E2, Iclass: PUSH
Address in frontend: 00007F91AFB543E4, Iclass: PUSH
Address in frontend: 00007F91AFB543E6, Iclass: PUSH
Address in frontend: 00007F91AFB543E8, Iclass: MOV
Address in frontend: 00007F91AFB543EB, Iclass: PUSH
Address in frontend: 00007F91AFB543EC, Iclass: PUSH
Address in frontend: 00007F91AFB543ED, Iclass: MOV
Address in frontend: 00007F91AFB543F0, Iclass: ALU
Address in frontend: 00007F91AFB543F4, Iclass: ALU
Address in frontend: 00007F91AFB543FB, Iclass: JUMP
Address in frontend: 00007F91AFB54401, Iclass: ALU
Address in frontend: 00007F91AFB54409, Iclass: JUMP
Address in frontend: 00007F91AFB54425, Iclass: MOV
Address in frontend: 00007F91AFB54428, Iclass: ALU
Address in frontend: 00007F91AFB5442C, Iclass: ALU
Address in frontend: 00007F91AFB5442F, Iclass: JUMP
Address in frontend: 00007F91AFB54468, Iclass: MOV
Address in frontend: 00007F91AFB5446B, Iclass: MOV
Address in frontend: 00007F91AFB54475, Iclass: ALU
Address in frontend: 00007F91AFB54478, Iclass: ALU
Address in frontend: 00007F91AFB5447B, Iclass: JUMP
