Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 00007FAF8FB7D660, Iclass: ALU
Address in frontend: 00007FAF8FB7D664, Iclass: MOV
Address in frontend: 00007FAF8FB7D669, Iclass: MOV
Address in frontend: 00007FAF8FB7D66D, Iclass: ALU
Address in frontend: 00007FAF8FB7D670, Iclass: JUMP
Address in frontend: 00007FAF8FB7D676, Iclass: MOV
Address in frontend: 00007FAF8FB7D679, Iclass: ALU
Address in frontend: 00007FAF8FB7D67B, Iclass: MOV
Address in frontend: 00007FAF8FB7D67E, Iclass: CALL
Address in frontend: 00007FAF8FB7A020, Iclass: JUMP
Address in frontend: 00007FAF87EB4F50, Iclass: MOV
Address in frontend: 00007FAF87EB4F54, Iclass: MOV
Address in frontend: 00007FAF87EB4F57, Iclass: MOV
Address in frontend: 00007FAF87EB4F5C, Iclass: ALU
Address in frontend: 00007FAF87EB4F60, Iclass: JUMP
Address in frontend: 00007FAF87EB4F66, Iclass: ALU
Address in frontend: 00007FAF87EB4F6A, Iclass: JUMP
Address in frontend: 00007FAF87EB4F7A, Iclass: ALU
Address in frontend: 00007FAF87EB4F81, Iclass: JUMP
Address in frontend: 00007FAF87EB4F20, Iclass: ALU
Address in frontend: 00007FAF87EB4F23, Iclass: MOV
Address in frontend: 00007FAF87EB4F26, Iclass: MOV
Address in frontend: 00007FAF87EB4F2A, Iclass: MOV
Address in frontend: 00007FAF87EB4F2D, Iclass: ALU
Address in frontend: 00007FAF87EB4F2F, Iclass: MOV
Address in frontend: 00007FAF87EB4F32, Iclass: POP
Address in frontend: 00007FAF8FB7D683, Iclass: ALU
Address in frontend: 00007FAF8FB7D68B, Iclass: MOV
Address in frontend: 00007FAF8FB7D690, Iclass: ALU
Address in frontend: 00007FAF8FB7D693, Iclass: ALU
Address in frontend: 00007FAF8FB7D698, Iclass: MOV
Address in frontend: 00007FAF8FB7D69D, Iclass: JUMP
Address in frontend: 00007FAF8FB7D4E3, Iclass: MOV
Address in frontend: 00007FAF8FB7D4EA, Iclass: ALU
Address in frontend: 00007FAF8FB7D4EE, Iclass: JUMP
Address in frontend: 00007FAF8FB7D450, Iclass: ALU
Address in frontend: 00007FAF8FB7D454, Iclass: MOV
Address in frontend: 00007FAF8FB7D457, Iclass: POP
Address in frontend: 00007FAF8FB7D458, Iclass: POP
Address in frontend: 00007FAF8FB7D459, Iclass: POP
Address in frontend: 00007FAF8FB7D45B, Iclass: POP
Address in frontend: 00007FAF8FB7D45D, Iclass: POP
Address in frontend: 00007FAF8FB7D45F, Iclass: POP
Address in frontend: 00007FAF8FB7D461, Iclass: POP
Address in frontend: 000055DECEF69DCA, Iclass: ALU
Address in frontend: 000055DECEF69DCD, Iclass: MOV
