Scarab gitrev: bc72524
Scarab started at Wed Nov 13 17:03:43 2024

Initialized Ramulator. 
XED decode error for 0x7f2f985c54d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed4f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed620: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98688500: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98af2290: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98af8ec0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed690: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986d0e30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986281d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98635920: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986358b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98636f10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98634fa0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986199e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5390: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872b2a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98635130: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9861a9d8: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986372d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9861a1a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5350: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872b800: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed780: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed480: BUFFER_TOO_SHORT 3, replacing with nop
